address,size,name,status,module,notes
0x800275A0,0x114,func_8002778C,matching_c,game,
0x800276B4,0x11C,func_800278A0,matching_c,game,
0x800277D0,0x43C,func_800279BC,matching_c,game,
0x80027C0C,0x428,func_80027DF8,matching_c,game,
0x80028034,0x40,func_80028034,matching_c,game,
0x80028074,0x1C,func_80028074,matching_c,game,
0x80028090,0x6C,func_80028090,matching_c,game,
0x800280FC,0x28,DuelEffect_MarkStateInitialized,matching_c,game,
0x80028124,0xDC,DuelEffect_UpdateDialogState,matching_c,game,
0x80028200,0x8,func_800283EC,matching_c,game,
0x80028208,0x504,func_80028208,matching_c,game,
0x8002870C,0x80,DuelEffect_UpdateState,matching_c,game,
0x8002878C,0x8,func_800289AC,matching_c,game,
0x80028794,0x8,func_800289B4,matching_c,game,
0x8002879C,0x14C,func_800289BC,matching_c,game,
0x800288E8,0x600,func_80028B08,matching_c,game,
0x80028EE8,0x5C,CardPreview_UpdateVariant,matching_c,game,
0x80028F44,0x7C,func_80029164,matching_c,game,
0x80028FC0,0x348,func_800291E0,matching_c,game,
0x80029308,0x4C,func_80029528,matching_c,game,
0x80029354,0x1C,DuelEffect_ClearResourceObjectPointers,matching_c,game,
0x80029370,0xF4,func_80029590,matching_c,game,
0x80029464,0x158,func_80029684,matching_c,game,
0x800295BC,0x158,func_800297DC,matching_c,game,
0x80029714,0x57C,func_80029934,matching_c,game,
0x80029C90,0x14,Library_GetCardFlags,matching_c,game,
0x80029CA4,0x430,Library_DrawCardGrid,matching_c,game,
0x8002A0D4,0xD8,func_8002A2F4,matching_c,game,
0x8002A1AC,0xDC,func_8002A3CC,matching_c,game,
0x8002A288,0x1B8,func_8002A4A8,matching_c,game,
0x8002A440,0x58,func_8002A660,matching_c,game,
0x8002A498,0xD0,Library_GetGridCursorCardId,matching_c,game,
0x8002A568,0x238,Library_UpdateGridCursor,matching_c,game,
0x8002A7A0,0x1F4,func_8002A9C0,matching_c,game,
0x8002A994,0xF0,func_8002ABB4,matching_c,game,
0x8002AA84,0xDFC,func_8002ACA4,matching_c,game,
0x8002B880,0xC,func_8002BAA0,matching_c,game,
0x8002B88C,0x8,func_8002BAAC,matching_c,game,
0x8002B894,0x258,func_8002BAB4,matching_c,game,
0x8002BAEC,0x230,func_8002BD0C,matching_c,game,
0x8002BD1C,0x90,Library_MarkOwnedCards,matching_c,game,
0x8002BDAC,0x420,func_8002BFCC,matching_c,game,
0x8002C1CC,0x84,func_8002C400,matching_c,game,
0x8002C250,0x58,func_8002C484,matching_c,game,
0x8002C2A8,0x3C,Duel_FindPlayerDeckCard,matching_c,game,
0x8002C2E4,0x48,Library_CheckCardOwned,matching_c,game,
0x8002C32C,0x8,func_8002C560,matching_c,game,
0x8002C334,0x8,func_8002C568,matching_c,game,
0x8002C33C,0x28,func_8002C570,matching_c,game,
0x8002C364,0x34,DuelEffect_ResetRequestPool,matching_c,game,
0x8002C398,0x38,DuelEffect_FindFreeRequest,matching_c,game,
0x8002C3D0,0x88,DuelEffect_AllocateRequest,matching_c,game,
0x8002C458,0x3C,DuelEffect_CreateRequest,matching_c,game,
0x8002C494,0x120,DuelEffect_UpdateRequests,matching_c,game,
0x8002C5B4,0x150,Duel_CheckRitual,matching_c,game,
0x8002C704,0x7C,Duel_CollectFieldRowCardObjects,matching_c,game,
0x8002C780,0x1B0,func_8002C780,matching_c,game,
0x8002C930,0x30,DisplayObject_CopyWorkSlots,matching_c,game,
0x8002C960,0x74,Duel_CalcGuardianStarMatchup,matching_c,game,
0x8002C9D4,0xB4,Duel_GetBaseCardStat,matching_c,game,
0x8002CA88,0x3C,Campaign_TestStoryFlag,matching_c,game,
0x8002CAC4,0x64,Library_UpdateCardUsedFlag,matching_c,game,
0x8002CB28,0x44,Campaign_EnsureStoryFlag,matching_c,game,
0x8002CB6C,0x5C,Main_ResetFrontendRuntime,matching_c,game,
0x8002CBC8,0x20,Main_PrepareFrontendLoop,matching_c,game,
0x8002CBE8,0x5C,Main_RunDebugMenu,matching_c,game,
0x8002CC44,0x84,Main_RunCampaign,matching_c,game,
0x8002CCC8,0x1F8,Main_RunDuel,matching_c,game,
0x8002CEC0,0xA0,Main_RunLibraryMenu,matching_c,game,
0x8002CF60,0x158,Main_RunAnimatedBattle,matching_c,game,
0x8002D0B8,0x98,func_8002D0B8,matching_c,game,
0x8002D150,0x88,Main_RunBuildDeckMenu,matching_c,game,
0x8002D1D8,0x60,func_8002D1D8,matching_c,game,
0x8002D238,0x130,Main_ApplyMenuSelection,matching_c,game,
0x8002D368,0xA4,Main_RunMenu,matching_c,game,
0x8002D40C,0x58,Main_RunNameEntry,matching_c,game,
0x8002D464,0x44,func_8002D464,matching_c,game,
0x8002D4A8,0x68,Main_RunOptionsMenu,matching_c,game,
0x8002D510,0x94,Main_RunGameOver,matching_c,game,
0x8002D5A4,0x8,Main_RunUnusedDeveloperMode,matching_c,game,
0x8002D5AC,0x250,Main_RunTrade,matching_c,game,
0x8002D7FC,0x21C,Main_RunCredits,matching_c,game,
0x8002DA18,0x140,func_8002DA18,matching_c,game,
0x8002DB58,0x88,Main_Loop,matching_c,game,
0x8002DBE0,0x130,func_8002DBE0,matching_c,game,
0x8002DD10,0xE0,ScriptImage_RequestTransfer,matching_c,game,
0x8002DDF0,0x54,ScriptImage_ReleaseObjects,matching_c,game,
0x8002DE44,0xC8,ScriptImage_CreateObject,matching_c,game,
0x8002DF0C,0x248,ScriptImage_RebuildObjects,matching_c,game,
